Country,EPSI,Date,ECPI,CCPI,GSCPI
Italy,6.0,1991-01-31,,,
Italy,3.0,1991-01-31,,,
Italy,1.0,1991-01-31,,,
Italy,0.0,1991-01-31,,,
Italy,2.0,1991-01-31,,,
Spain,0.0,1991-01-31,,,
Spain,0.83333331,1991-01-31,,,
Spain,3.0,1991-01-31,,,
Spain,0.0,1991-01-31,,,
Spain,1.5,1991-01-31,,,
Spain,2.0,1991-01-31,,,
Spain,5.0,1991-01-31,,,
Spain,1.0,1991-01-31,,,
Spain,0.0,1991-01-31,,,
Spain,0.0,1991-01-31,,,
Spain,0.0,1991-01-31,,,
Spain,1.0,1991-01-31,,,
Spain,0.0,1991-01-31,,,
Spain,1.1111112,1991-01-31,,,
